Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
 94.44      0.17     0.17                             main
  5.56      0.18     0.01                             _init
  0.00      0.18     0.00    71518     0.00     0.00  void boost::asio::detail::executor_function::complete<boost::asio::detail::binder2<boost::beast::detail::bind_front_wrapper<void (ClientSessionInternal::*)(boost::system::error_code, boost::asio::ip::basic_resolver_results<boost::asio::ip::tcp>), std::shared_ptr<ClientSessionInternal> >, boost::system::error_code, boost::asio::ip::basic_resolver_results<boost::asio::ip::tcp> >, std::allocator<void> >(boost::asio::detail::executor_function::impl_base*, bool)
  0.00      0.18     0.00    23327     0.00     0.00  boost::asio::executor::impl<boost::asio::io_context::basic_executor_type<std::allocator<void>, 0u>, std::allocator<void> >::destroy()
  0.00      0.18     0.00    23316     0.00     0.00  boost::asio::executor::impl<boost::asio::io_context::basic_executor_type<std::allocator<void>, 0u>, std::allocator<void> >::clone() const
  0.00      0.18     0.00    20337     0.00     0.00  boost::asio::executor_work_guard<boost::asio::executor, void>::~executor_work_guard()
  0.00      0.18     0.00     9678     0.00     0.00  boost::beast::basic_multi_buffer<std::allocator<char> >::subrange<true>::const_iterator::operator*() const
  0.00      0.18     0.00     5117     0.00     0.00  boost::asio::detail::handler_work_base<boost::asio::executor, void, boost::asio::io_context, boost::asio::executor, void>::~handler_work_base()
  0.00      0.18     0.00     5116     0.00     0.00  boost::asio::detail::handler_work_base<boost::asio::executor, boost::asio::executor, boost::asio::io_context, boost::asio::executor, void>::~handler_work_base()
  0.00      0.18     0.00     3837     0.00     0.00  boost::beast::basic_stream<boost::asio::ip::tcp, boost::asio::executor, boost::beast::unlimited_rate_policy>::timeout_handler<boost::asio::executor>::~timeout_handler()
  0.00      0.18     0.00     3722     0.00     0.00  boost::beast::basic_stream<boost::asio::ip::tcp, boost::asio::executor, boost::beast::unlimited_rate_policy>::ops::transfer_op<true, boost::beast::basic_multi_buffer<std::allocator<char> >::subrange<true>, boost::asio::detail::composed_op<boost::beast::http::detail::read_some_op<boost::beast::basic_stream<boost::asio::ip::tcp, boost::asio::executor, boost::beast::unlimited_rate_policy>, boost::beast::basic_multi_buffer<std::allocator<char> >, false>, boost::asio::detail::composed_work<void (boost::asio::executor)>, boost::asio::detail::composed_op<boost::beast::http::detail::read_op<boost::beast::basic_stream<boost::asio::ip::tcp, boost::asio::executor, boost::beast::unlimited_rate_policy>, boost::beast::basic_multi_buffer<std::allocator<char> >, false, boost::beast::http::detail::parser_is_done>, boost::asio::detail::composed_work<void (boost::asio::executor)>, boost::beast::http::detail::read_msg_op<boost::beast::basic_stream<boost::asio::ip::tcp, boost::asio::executor, boost::beast::unlimited_rate_policy>, boost::beast::basic_multi_buffer<std::allocator<char> >, false, boost::beast::http::basic_string_body<char, std::char_traits<char>, std::allocator<char> >, std::allocator<char>, boost::beast::detail::bind_front_wrapper<void (ClientSessionInternal::*)(boost::system::error_code, unsigned long), std::shared_ptr<ClientSessionInternal> > >, void (boost::system::error_code, unsigned long)>, void (boost::system::error_code, unsigned long)> >::~transfer_op()
  0.00      0.18     0.00     3574     0.00     0.00  decltype (((declval<boost::beast::detail::variant<boost::asio::const_buffer const*, boost::asio::const_buffer const*, boost::asio::const_buffer const*, boost::beast::http::basic_fields<std::allocator<char> >::writer::field_iterator, boost::asio::const_buffer const*, boost::beast::detail::buffers_cat_view_iterator_base::past_end>::destroy>)())((declval<std::integral_constant<unsigned long, 0ul> >)())) boost::mp11::mp_with_index<7ul, boost::beast::detail::variant<boost::asio::const_buffer const*, boost::asio::const_buffer const*, boost::asio::const_buffer const*, boost::beast::http::basic_fields<std::allocator<char> >::writer::field_iterator, boost::asio::const_buffer const*, boost::beast::detail::buffers_cat_view_iterator_base::past_end>::destroy>(unsigned long, boost::beast::detail::variant<boost::asio::const_buffer const*, boost::asio::const_buffer const*, boost::asio::const_buffer const*, boost::beast::http::basic_fields<std::allocator<char> >::writer::field_iterator, boost::asio::const_buffer const*, boost::beast::detail::buffers_cat_view_iterator_base::past_end>::destroy&&)
  0.00      0.18     0.00     2870     0.00     0.00  ClientSessionInternal::on_read(boost::system::error_code, unsigned long)
  0.00      0.18     0.00     2647     0.00     0.00  boost::asio::detail::scheduler::do_run_one(boost::asio::detail::conditionally_enabled_mutex::scoped_lock&, boost::asio::detail::scheduler_thread_info&, boost::system::error_code const&)
  0.00      0.18     0.00     2627     0.00     0.00  boost::asio::executor::impl<boost::asio::io_context::basic_executor_type<std::allocator<void>, 0u>, std::allocator<void> >::on_work_started()
  0.00      0.18     0.00     2626     0.00     0.00  boost::asio::executor::impl<boost::asio::io_context::basic_executor_type<std::allocator<void>, 0u>, std::allocator<void> >::on_work_finished()
  0.00      0.18     0.00     2605     0.00     0.00  boost::system::detail::failed_impl(int, boost::system::error_category const&)
  0.00      0.18     0.00     2577     0.00     0.00  boost::asio::executor::impl<boost::asio::io_context::basic_executor_type<std::allocator<void>, 0u>, std::allocator<void> >::target_type() const
  0.00      0.18     0.00     2560     0.00     0.00  boost::asio::detail::handler_work_base<boost::asio::executor, boost::asio::executor, boost::asio::io_context, boost::asio::executor, void>::handler_work_base(boost::asio::executor const&, boost::asio::executor const&)
  0.00      0.18     0.00     2560     0.00     0.00  boost::asio::detail::handler_work_base<boost::asio::executor, void, boost::asio::io_context, boost::asio::executor, void>::handler_work_base(boost::asio::executor const&)
